INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,PONTO_VIRADA_2020,PEDRA_2020,qtd
Escola João Paulo II,12,Não,Ágata,1
Escola João Paulo II,13,Não,Quartzo,1
Escola Pública,10,Não,Ametista,49
Escola Pública,10,Não,Quartzo,15
Escola Pública,10,Não,Topázio,2
Escola Pública,10,Não,Ágata,22
Escola Pública,10,Sim,Ametista,6
Escola Pública,10,Sim,Topázio,5
Escola Pública,11,Não,Ametista,40
Escola Pública,11,Não,Quartzo,9
Escola Pública,11,Não,Topázio,6
Escola Pública,11,Não,Ágata,22
Escola Pública,11,Sim,Ametista,2
Escola Pública,12,Não,Ametista,29
Escola Pública,12,Não,Quartzo,13
Escola Pública,12,Não,Topázio,1
Escola Pública,12,Não,Ágata,25
Escola Pública,12,Sim,Ametista,4
Escola Pública,12,Sim,Topázio,1
Escola Pública,13,Não,Ametista,21
Escola Pública,13,Não,Quartzo,11
Escola Pública,13,Não,Topázio,2
Escola Pública,13,Não,Ágata,24
Escola Pública,13,Sim,Ametista,4
Escola Pública,13,Sim,Topázio,5
Escola Pública,14,Não,Ametista,20
Escola Pública,14,Não,Quartzo,14
Escola Pública,14,Não,Topázio,2
Escola Pública,14,Não,Ágata,16
Escola Pública,14,Sim,Ametista,3
Escola Pública,15,Não,Ametista,6
Escola Pública,15,Não,Quartzo,11
Escola Pública,15,Não,Ágata,10
Escola Pública,15,Sim,Ametista,5
Escola Pública,15,Sim,Topázio,2
Escola Pública,16,Não,Ametista,6
Escola Pública,16,Não,Quartzo,26
Escola Pública,16,Não,Ágata,10
Escola Pública,16,Sim,Ametista,5
Escola Pública,17,Não,Ametista,5
Escola Pública,17,Não,Quartzo,13
Escola Pública,17,Não,Ágata,9
Escola Pública,17,Sim,Ametista,2
Escola Pública,18,Não,Ametista,1
Escola Pública,18,Não,Quartzo,1
Escola Pública,18,Não,Ágata,3
Escola Pública,18,Sim,Ágata,1
Escola Pública,7,Não,Quartzo,1
Escola Pública,7,Não,Topázio,5
Escola Pública,7,Não,Ágata,2
Escola Pública,8,Não,Ametista,15
Escola Pública,8,Não,Topázio,19
Escola Pública,8,Não,Ágata,4
Escola Pública,8,Sim,Topázio,4
Escola Pública,9,Não,Ametista,35
Escola Pública,9,Não,Quartzo,2
Escola Pública,9,Não,Topázio,13
Escola Pública,9,Não,Ágata,5
Escola Pública,9,Sim,Topázio,4
Rede Decisão/União,10,Não,Ametista,5
Rede Decisão/União,10,Sim,Ametista,1
Rede Decisão/União,10,Sim,Topázio,2
Rede Decisão/União,11,Não,Ametista,8
Rede Decisão/União,11,Não,Quartzo,1
Rede Decisão/União,11,Não,Topázio,1
Rede Decisão/União,11,Sim,Ametista,2
Rede Decisão/União,11,Sim,Topázio,2
Rede Decisão/União,12,Não,Ametista,7
Rede Decisão/União,12,Não,Quartzo,1
Rede Decisão/União,12,Não,Ágata,4
Rede Decisão/União,13,Não,Ametista,4
Rede Decisão/União,13,Não,Quartzo,1
Rede Decisão/União,13,Sim,Ametista,3
Rede Decisão/União,13,Sim,Topázio,4
Rede Decisão/União,14,Não,Ametista,4
Rede Decisão/União,14,Não,Quartzo,2
Rede Decisão/União,14,Não,Topázio,1
Rede Decisão/União,14,Sim,Ametista,9
Rede Decisão/União,14,Sim,Topázio,1
Rede Decisão/União,15,Não,Ametista,3
Rede Decisão/União,15,Não,Quartzo,2
Rede Decisão/União,15,Sim,Ametista,7
Rede Decisão/União,15,Sim,Topázio,1
Rede Decisão/União,16,Não,Ametista,4
Rede Decisão/União,16,Não,Ágata,1
Rede Decisão/União,16,Sim,Ametista,1
Rede Decisão/União,16,Sim,Topázio,1
Rede Decisão/União,17,Não,Ametista,7
Rede Decisão/União,17,Não,Ágata,2
Rede Decisão/União,17,Sim,Ametista,3
Rede Decisão/União,17,Sim,Topázio,3
Rede Decisão/União,17,Sim,Ágata,1
Rede Decisão/União,7,Não,Ágata,1
Rede Decisão/União,8,Não,Ametista,1
